Index,Quality,Angle (degrees),Distance (mm)
5,15,316.625,199.75
5,15,318.03125,194.75
5,15,319.4375,190.0
5,15,320.859375,185.5
5,15,322.265625,181.75
5,15,328.421875,279.75
5,15,330.75,273.5
5,15,331.40625,267.25
5,15,333.609375,262.25
5,15,334.171875,259.25
5,15,336.140625,257.75
5,15,337.265625,257.25
5,15,338.515625,257.0
5,15,340.140625,257.5
5,15,342.4375,258.75
5,15,342.703125,259.25
5,15,344.703125,258.0
5,15,346.0625,256.0
5,15,348.890625,254.25
5,15,348.65625,253.0
5,15,349.765625,250.5
5,15,351.3125,247.25
5,15,352.78125,245.0
5,15,354.53125,244.5
5,15,355.671875,243.75
6,15,357.640625,242.75
6,15,358.984375,241.75
6,15,0.46875,240.25
6,15,1.4375,238.75
6,15,4.59375,238.25
6,15,4.328125,238.0
6,15,7.40625,237.75
6,15,6.9375,238.75
6,15,10.21875,238.0
6,15,10.34375,238.0
6,15,13.03125,239.0
6,15,14.453125,239.25
6,15,14.453125,240.5
6,15,16.203125,241.0
6,15,17.953125,242.0
6,15,20.046875,243.0
6,15,19.921875,244.5
6,15,21.0625,244.25
6,15,23.359375,245.25
6,15,23.796875,248.25
6,15,25.875,250.75
6,15,26.546875,253.5
6,15,28.484375,254.25
6,15,29.3125,255.5
6,15,35.765625,270.5
6,15,49.53125,2483.0
6,15,50.953125,2484.75
6,15,52.375,2431.5
6,15,53.78125,2368.25
6,15,55.234375,2307.25
6,15,56.671875,2246.75
6,15,58.09375,2188.25
6,15,59.453125,2134.25
6,15,60.84375,2090.75
6,15,62.296875,2050.25
6,15,66.53125,1939.25
6,13,74.21875,266.5
6,15,75.875,263.0
6,15,78.28125,260.25
6,15,79.84375,258.25
6,15,79.796875,256.5
6,15,81.578125,254.75
6,15,82.625,253.25
6,15,84.65625,252.5
6,15,86.5625,253.0
6,15,87.546875,254.25
6,15,88.15625,256.5
6,15,89.625,259.0
6,15,101.859375,375.25
6,12,103.59375,377.75
6,15,104.65625,384.75
6,15,106.265625,390.0
6,15,107.65625,393.25
6,15,108.703125,397.5
6,15,110.40625,403.0
6,15,111.625,408.75
6,15,112.71875,414.5
6,15,114.328125,420.25
6,15,115.53125,426.75
6,15,116.734375,433.75
6,15,118.375,441.0
6,15,119.59375,449.25
6,15,121.0,457.5
6,15,122.21875,466.0
6,15,123.65625,475.25
6,15,124.9375,486.5
6,15,126.21875,498.0
6,12,127.703125,511.25
6,14,130.15625,544.75
6,15,138.953125,514.25
6,15,147.0625,1349.5
6,15,148.453125,1347.5
6,15,149.859375,1367.5
6,15,151.265625,1378.25
6,15,152.703125,1368.75
6,15,157.0625,1196.75
6,15,158.40625,1190.75
6,15,159.796875,1190.0
6,15,161.296875,1185.75
6,15,162.71875,1177.75
6,15,164.15625,1165.5
6,15,165.59375,1145.75
6,15,166.96875,1124.25
6,15,168.421875,1104.25
6,15,172.515625,1158.5
6,15,176.546875,572.5
6,15,179.671875,512.25
6,15,181.109375,509.5
6,15,182.65625,509.5
6,15,183.875,511.5
6,15,185.40625,515.5
6,15,186.734375,516.75
6,15,188.25,513.0
6,15,189.734375,509.75
6,15,191.03125,508.75
6,15,192.6875,502.5
6,15,193.828125,504.25
6,15,195.203125,515.0
6,10,198.125,508.25
6,15,210.734375,529.5
6,14,214.0,445.75
6,15,220.546875,536.5
6,15,222.078125,540.25
6,15,223.40625,534.75
6,15,224.890625,526.25
6,15,226.3125,525.25
6,15,229.265625,501.5
6,15,230.78125,491.25
6,15,232.265625,486.0
6,15,233.703125,479.75
6,15,235.25,472.0
6,15,244.9375,338.25
6,15,246.03125,336.25
6,15,247.6875,338.5
6,15,249.328125,343.0
6,15,250.53125,347.75
6,15,251.5625,353.0
6,15,252.890625,358.75
6,15,254.375,365.0
6,15,255.5625,372.0
6,15,263.78125,417.25
6,15,269.0625,441.5
6,15,270.84375,431.25
6,15,272.28125,428.75
6,15,273.46875,431.75
6,15,277.4375,454.5
6,15,278.96875,455.0
6,15,313.03125,214.25
6,15,314.4375,208.25
6,15,315.859375,202.5
6,15,316.703125,197.5
6,15,318.6875,192.75
6,15,320.09375,188.25
6,15,321.5,184.25
6,15,322.90625,180.75
6,15,328.25,283.0
6,15,329.328125,276.5
6,15,331.203125,270.25
6,15,332.921875,264.75
6,15,334.8125,260.75
6,15,334.875,258.25
6,15,337.0625,257.5
6,15,337.578125,257.0
6,15,339.359375,257.0
6,15,340.75,257.75
6,15,342.703125,259.0
6,15,343.90625,258.75
6,15,344.796875,257.0
6,15,347.28125,255.25
6,15,347.828125,253.75
6,15,349.734375,251.75
6,15,352.25,249.25
6,15,352.078125,246.5
6,15,353.578125,244.75
6,15,354.84375,244.0
7,15,358.1875,243.0
7,15,357.59375,242.25
7,15,1.0,240.5
7,15,0.671875,239.0
7,15,3.828125,238.5
7,15,3.71875,238.25
7,15,4.921875,237.75
7,15,7.71875,237.5
7,15,8.03125,237.75
7,15,9.0,238.25
7,15,10.890625,239.0
7,15,13.4375,239.75
7,15,15.109375,240.25
7,15,16.5,240.5
7,15,16.15625,241.25
7,15,18.203125,242.5
